Year;Age;Female_Deaths;Male_Deaths;Total_Deaths;Female_Rate_Deaths;Male_Rate_Deaths;Total_Rate_Deaths;Female_Population;Male_Population;Total_Population
1992;0;1890;2319;4209;0,013842;0,016239;0,015067;137242,54;143654,94;280897,48
1992;1;150;222;372;0,001104;0,001563;0,001339;134593,85;140715,42;275309,27
1992;2;93;134;227;0,000672;0,000927;0,000802;141549,73;147507,9;289057,63
1992;3;52;111;163;0,000361;0,000738;0,000553;145633,53;151902,89;297536,42
1992;4;44;48;92;0,0003;0,000313;0,000307;147489,34;154421,43;301910,77
1992;5;30;37;67;0,000219;0,000259;0,000239;127352,19;131877,29;259229,48
1992;6;36;31;67;0,000289;0,000241;0,000264;122107,49;125772,57;247880,06
1992;7;27;42;69;0,000223;0,000335;0,00028;119702,18;123937,11;243639,29
1992;8;29;41;70;0,000244;0,000334;0,00029;119862,54;123572,49;243435,03
1992;9;25;35;60;0,000205;0,000279;0,000243;125539,61;128969,88;254509,49
1992;10;23;37;60;0,000179;0,00028;0,00023;128195,44;132301,69;260497,13
1992;11;23;49;72;0,000187;0,000384;0,000287;120931,21;125810,83;246742,04
1992;12;25;37;62;0,000208;0,000298;0,000254;118786,91;121931,74;240718,65
1992;13;25;46;71;0,000213;0,000383;0,000299;115663,38;118231,25;233894,63
1992;14;32;58;90;0,000276;0,000487;0,000383;116079,64;120335,27;236414,91
1992;15;38;62;100;0,000332;0,000525;0,00043;113494,25;116665,68;230159,93
1992;16;50;92;142;0,000432;0,000774;0,000606;118497,28;121902,42;240399,7
1992;17;49;108;157;0,0004;0,000855;0,000631;124128,56;128274,49;252403,05
1992;18;44;128;172;0,000353;0,000996;0,000679;125507,13;128945,6;254452,73
1992;19;52;151;203;0,000421;0,001212;0,000818;122183,39;121232,29;243415,68
1992;20;55;164;219;0,000446;0,001346;0,000893;121615,16;119479,51;241094,67
1992;21;52;199;251;0,000432;0,001671;0,001048;120135,32;119548,21;239683,53
1992;22;71;193;264;0,000596;0,001632;0,001112;120665,68;119765,88;240431,56
1992;23;57;189;246;0,000469;0,001579;0,00102;122919,13;120179,16;243098,29
1992;24;49;186;235;0,000396;0,001543;0,000962;123936,26;120465,83;244402,09
1992;25;63;216;279;0,000505;0,001791;0,001137;123702,64;119022,69;242725,33
1992;26;70;202;272;0,000562;0,001688;0,001114;125801,03;120866,21;246667,24
1992;27;58;197;255;0,000457;0,001612;0,001023;126990,26;122481,19;249471,45
1992;28;79;205;284;0,000634;0,0017;0,001158;124380,11;120778,23;245158,34
1992;29;64;201;265;0,00051;0,001658;0,001074;124717,9;119927,22;244645,12
1992;30;63;224;287;0,00051;0,001892;0,001187;122920,24;117580,33;240500,57
1992;31;77;218;295;0,000646;0,001909;0,001264;114493,59;110177,58;224671,17
1992;32;63;223;286;0,000542;0,002004;0,001257;119021,89;113476,17;232498,06
1992;33;73;207;280;0,000637;0,001872;0,001243;109860,66;107397,16;217257,82
1992;34;89;214;303;0,00084;0,002084;0,001452;103308,25;99285,1;202593,35
1992;35;98;242;340;0,000949;0,002457;0,001685;101976,01;96568,86;198544,87
1992;36;92;198;290;0,000916;0,002088;0,001485;98323,15;92616,62;190939,77
1992;37;91;215;306;0,000944;0,00237;0,001635;94981,08;89349,19;184330,27
1992;38;127;213;340;0,001362;0,002418;0,001875;91916,41;87264,45;179180,86
1992;39;111;206;317;0,001246;0,002431;0,001824;85769,62;81845,34;167614,96
1992;40;94;216;310;0,001126;0,002744;0,001912;82336,65;76885,1;159221,75
1992;41;139;241;380;0,001739;0,003165;0,002434;78024,43;75855,05;153879,48
1992;42;133;273;406;0,001619;0,003455;0,002519;85600,06;81683,94;167284
1992;43;149;250;399;0,001872;0,003313;0,002573;74287,04;70084,72;144371,76
1992;44;151;247;398;0,002112;0,00369;0,002875;69531,43;64711,38;134242,81
1992;45;155;295;450;0,002287;0,004694;0,003445;68241,04;63188,49;131429,53
1992;46;172;302;474;0,002511;0,004678;0,003562;68936,43;66221,16;135157,59
1992;47;165;274;439;0,002417;0,004208;0,003291;67765,91;64304,88;132070,79
1992;48;173;302;475;0,002612;0,004812;0,003682;64892,36;61498,64;126391
1992;49;217;336;553;0,003423;0,005637;0,004496;62084,81;58035,66;120120,47
1992;50;203;388;591;0,003302;0,006842;0,005001;61083,01;55740,16;116823,17
1992;51;238;368;606;0,004067;0,00672;0,00535;56163,83;54152,03;110315,86
1992;52;256;382;638;0,004413;0,006924;0,005637;60091,92;56557,86;116649,78
1992;53;250;344;594;0,004483;0,006657;0,005529;51688,32;47153,68;98842
1992;54;243;401;644;0,004757;0,008717;0,006633;50720,47;45219,26;95939,73
1992;55;266;459;725;0,005357;0,01041;0,007734;48835,55;43393,65;92229,2
1992;56;300;442;742;0,006289;0,010255;0,008171;46851,88;43260,65;90112,53
1992;57;312;444;756;0,006787;0,010538;0,008581;45390,03;41449,96;86839,99
1992;58;323;528;851;0,007148;0,012874;0,009873;45296,39;41056,19;86352,58
1992;59;351;554;905;0,007686;0,013768;0,010535;46367,39;39958,71;86326,1
1992;60;341;625;966;0,007231;0,015779;0,011134;48288,15;39846,71;88134,86
1992;61;434;734;1168;0,009436;0,018519;0,01364;44086,42;40096,93;84183,35
1992;62;519;797;1316;0,011143;0,019378;0,015005;49548,31;42937,96;92486,27
1992;63;531;785;1316;0,011411;0,019651;0,015217;44043,8;37753,23;81797,03
1992;64;554;829;1383;0,012872;0,022258;0,017226;42582,1;37544,57;80126,67
1992;65;550;762;1312;0,013378;0,021277;0,017055;40189,58;34875,32;75064,9
1992;66;568;751;1319;0,015412;0,023839;0,019296;34070,3;28877,01;62947,31
1992;67;569;836;1405;0,017265;0,029937;0,023078;32408,97;27762,58;60171,55
1992;68;592;828;1420;0,019284;0,032356;0,025227;29568,84;24249,17;53818,01
1992;69;652;832;1484;0,023082;0,036283;0,028997;27546,94;22439,04;49985,98
1992;70;657;898;1555;0,023693;0,040784;0,031257;28561,67;22457,74;51019,41
1992;71;716;937;1653;0,027044;0,044224;0,034681;25078,19;20834,54;45912,73
1992;72;744;934;1678;0,02868;0,045274;0,03603;27535,82;21360,13;48895,95
1992;73;763;925;1688;0,030278;0,04842;0,0381;23615,49;17775,93;41391,42
1992;74;816;943;1759;0,035493;0,055732;0,044073;23156,6;16996,6;40153,2
1992;75;899;971;1870;0,040228;0,060275;0,048626;22400,4;16183,99;38584,39
1992;76;889;1022;1911;0,042424;0,068463;0,053256;20402,49;14668,19;35070,68
1992;77;969;969;1938;0,050512;0,071012;0,059033;18887,75;13609,51;32497,26
1992;78;993;1004;1997;0,054455;0,079061;0,064556;18563,63;12775,66;31339,29
1992;79;964;997;1961;0,056733;0,087845;0,069192;16410,29;10931,06;27341,35
1992;80;980;890;1870;0,06045;0,087868;0,070993;15823,45;10061,08;25884,53
1992;81;1016;909;1925;0,069783;0,100729;0,081625;14291,55;8889,68;23181,23
1992;82;1035;866;1901;0,08018;0,111625;0,091984;12550,31;7510,12;20060,43
1992;83;959;785;1744;0,085286;0,119739;0,097975;10938,04;6426,75;17364,79
1992;84;930;764;1694;0,095005;0,137553;0,110407;9589,39;5458,54;15047,93
1992;85;877;650;1527;0,102182;0,141493;0,115887;8478,44;4434,55;12912,99
1992;86;855;598;1453;0,115782;0,163097;0,13148;7156,52;3520,66;10677,18
1992;87;770;490;1260;0,126182;0,167762;0,139642;5860,36;2863,17;8723,53
1992;88;688;442;1130;0,137503;0,187605;0,153542;4875,53;2313,44;7188,97
1992;89;635;350;985;0,154365;0,187566;0,164726;4013,07;1813,23;5826,3
1992;90;588;272;860;0,17742;0,186515;0,180199;3228,12;1414,06;4642,18
1992;91;525;268;793;0,201595;0,24035;0,213214;2533,62;1083,87;3617,49
1992;92;382;194;576;0,19417;0,243345;0,208351;1851,47;739,18;2590,65
1992;93;330;123;453;0,231742;0,233699;0,23227;1350,4;470,16;1820,56
1992;94;232;113;345;0,22084;0,334198;0,248442;1029,7;323,08;1352,78
1992;95;219;61;280;0,281566;0,257681;0,275993;750,87;236,53;987,4
1992;96;178;53;231;0,330104;0,301071;0,322959;523,27;171,51;694,78
1992;97;119;33;152;0,322719;0,291898;0,315487;360,28;96,59;456,87
1992;98;74;21;95;0,295087;0,305848;0,2974;236,1;67,12;303,22
1992;99;61;21;82;0,372515;0,443771;0,388491;157,96;48,19;206,15
1992;100;39;14;53;0,367809;0,464114;0,389138;103,52;29,38;132,9
1992;101;30;9;39;0,437637;0,466724;0,444023;66,98;20,13;87,11
1992;102;17;7;24;0,368032;0,523952;0,403011;47,98;14,24;62,22
1992;103;11;4;15;0,33763;0,438116;0,359626;30,67;9,23;39,9
1992;104;7;4;11;0,361851;0,676819;0,435557;16,69;6,45;23,14
1992;105;2;0;2;0,189454;0;0,130449;8,68;4,89;13,57
1992;106;2;1;3;0,299775;0,3245;0,307587;6,61;1,79;8,4
1992;107;5;0;5;0,995355;0;0,837755;6,93;0,55;7,48
1992;108;4;0;4;1,24805;0;1,005025;3,85;1;4,85
1992;109;1;0;1;0,831025;0;0,519931;0,92;0,44;1,36
1992;110;3;0;3;0,796813;0;0,601805;5;1;6
1993;0;1671;2121,05;3792,05;0,012412;0,01506;0,013766;135971,67;142020,8;277992,47
1993;1;140;195;335;0,001029;0,001372;0,001204;136878,01;143181,8;280059,81
1993;2;97;85;182;0,000714;0,000599;0,000655;134474,65;140540,56;275015,21
1993;3;51;68,01;119,01;0,000367;0,000469;0,000419;141478,5;147385,9;288864,4
1993;4;30;57;87;0,000208;0,000379;0,000295;145585,52;151825,21;297410,73
1993;5;47;43,01;90,01;0,000322;0,000282;0,000301;147453,49;154379,75;301833,24
1993;6;34;51;85;0,000249;0,000359;0,000305;127318,92;131843,38;259162,3
1993;7;24;44;68;0,000192;0,000341;0,000267;122076,48;125736,16;247812,64
1993;8;20;45;65;0,000165;0,000359;0,000264;119673,95;123895,25;243569,2
1993;9;27;33;60;0,000227;0,000269;0,000248;119835,98;123535,24;243371,22
1993;10;27;40;67;0,000221;0,000318;0,000271;125515,74;128933,78;254449,52
1993;11;35;40;75;0,000272;0,000302;0,000288;128172,2;132258,11;260430,31
1993;12;20;42;62;0,000162;0,000329;0,000247;120907,27;125768,23;246675,5
1993;13;29;46;75;0,000241;0,000371;0,000307;118762,07;121890,26;240652,33
1993;14;30;58;88;0,000256;0,000483;0,000371;115634,84;118179,28;233814,12
1993;15;35;65,01;100,01;0,000303;0,000546;0,000426;116045,08;120276,38;236321,46
1993;16;53;88;141;0,000465;0,000749;0,000609;113450,09;116588,68;230038,77
1993;17;40;115;155;0,000346;0,00097;0,000662;118447,99;121802,59;240250,58
1993;18;44;141;185;0,000359;0,001119;0,000744;124081,65;128156,16;252237,81
1993;19;49;161;210;0,000393;0,001256;0,000831;125459,09;128805,44;254264,53
1993;20;59;190;249;0,000479;0,001529;0,001006;122129,07;121070,35;243199,42
1993;21;48;187,01;235,01;0,000389;0,001536;0,000958;121561,66;119296,79;240858,45
1993;22;45;170;215;0,000373;0,001428;0,000897;120073,99;119353,79;239427,78
1993;23;46;216,01;262,01;0,000387;0,001831;0,001106;120602,21;119576,15;240178,36
1993;24;50;196,01;246,01;0,000411;0,001639;0,00102;122866,16;119992,01;242858,17
1993;25;52;245;297;0,000421;0,002035;0,001217;123880,03;120262,79;244142,82
1993;26;67;221,01;288,01;0,000538;0,001837;0,001176;123635,97;118813,68;242449,65
1993;27;60;234;294;0,000482;0,001958;0,001205;125736,94;120666,08;246403,02
1993;28;67;218;285;0,000527;0,001784;0,001143;126921,49;122280,22;249201,71
1993;29;62;222,01;284,01;0,000497;0,001842;0,001158;124308,61;120574,79;244883,4
1993;30;78;231,01;309,01;0,000621;0,001904;0,001251;124654,33;119714,61;244368,94
1993;31;79;226,01;305,01;0,00064;0,00191;0,001262;122849,72;117359,17;240208,89
1993;32;68;230,01;298,01;0,000571;0,002017;0,001278;114424;109957,17;224381,17
